comentario,codigo_semestre,nombre_curso,tipo,topico,semstre_malla,seccion,codigo,semestre,Departamento
.,MA1102-2 - Otoño 2023,Álgebra Lineal,1,Otros,2,2,MA1102, Otoño 2023,Departamento de ingenieria matematica
.,FI1000-3 - Otoño 2023,Introducción a la Física Clásica,0,Otros,1,3,FI1000, Otoño 2023,Departamento de fisica
"Mas que nada en la coordinacion docente, como es posible que ustedes mismos se contradigan. Si no entienden bien lo que hay que hacer, encuentro que es la razon de que tenemos tantas dudas porque no entendimos nada. Se demoran demasiado en dar las correcciones a los trabaios cuando necesitamos verlas para seguir trabajando en nuestra siguiente entrega.

Como esperan que aprendamos de nuestros errores, que es lo que dicen todo el rato que estamos haciendo, si no pueden entregar las mismas rubricas corregidas con lo que tenemos que cambiar con tiempo para reflexionar con ella antes de la otra entrega, no un dia antes. Es mas, aunque pidieramos ayuda para ver en que nos equivocavamos sus mismas soluciones que incluimos en el trabajo decian que estaban malas en la correccion porque a mi parecer nisiquiera ustedes saben lo que hay que hacer. Deberian trabajar en su coordinación para mostrarnos a nosotros mas claridad frente a las tareas y proyectos.",CD1100-4 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,0,Gestión de Actividades y Evaluaciones,1,4,CD1100, Otoño 2023,Area de innovacion
Profe no se vaya de la u y siga haciendo clases por favor :(. Que existan profes tan buenos como Ud. me motiva demasiado a seguir estudiando.,FI2001-4 - Otoño 2023,Mecánica,0,Reconocimiento a Profesores y Auxiliares,3,4,FI2001, Otoño 2023,Departamento de fisica
"Siempre tuvo preocupación por el desempeño de sus alumnos, algo que es especialmente significativo en la universidad.",MA1001-8 - Otoño 2023,Introducción al Cálculo,1,Gestión de Actividades y Evaluaciones,1,8,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Su gran ánimo a la hora de hacer clases en una característica distintiva del profesor, la sala se convierte en un ambiente grato, sin que se pierda la seriedad de una sala de clases.",MA2601-6 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Estilo de Enseñanza y Dinámica de Clases,3,6,MA2601, Otoño 2023,Departamento de ingenieria matematica
Todos. Fue tan buena la experiencia del curso y la disposición del profe que hace que me plantee el irme a ese dpto :),BT1211-1 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Reconocimiento a Profesores y Auxiliares,1,1,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"Mas motivacion a la hora de enseñar, a veces siento como si estuviera en un audiolibro del apunte",MA1001-4 - Otoño 2023,Introducción al Cálculo,0,Estilo de Enseñanza y Dinámica de Clases,1,4,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Sus clases eran poco claras y muy poco dinámicas provocando que sea muy fácil perder la atención hacia la cátedra, además el profesor nunca utilizó los contenidos del libro Sears en las clases lo que provocó que sea más dificil estudiar los contenidos fuera de esta.",FI1100-1 - Otoño 2023,Introducción a la Física Moderna,0,Estilo de Enseñanza y Dinámica de Clases,2,1,FI1100, Otoño 2023,Departamento de fisica
"Es una excelente profesora, sin embargo creo que se debería buscar más  el equilibrio entre teoría y aplicación de contenidos. Quizás mezclar ejercicios comunes con ejercicios “rebuscados” en los controles para asi beneficiar a los que entienden de otra forma la materia a la vez que a los que no",MA2601-2 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,0,Calidad de la Enseñanza,3,2,MA2601, Otoño 2023,Departamento de ingenieria matematica
Fui a todas las cátedras y no me sirvió de nada sea obtener un buen desempeño en el ramo ya que no aprendía nada en estas,IQ2211-5 - Otoño 2023,Química,1,Reconocimiento a Profesores y Auxiliares,3,5,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Muy buena profe y auxs, aunque la química me sigue pareciendo pesada, ahora creo que igual tiene sus cosas interesantes.",IQ2211-7 - Otoño 2023,Química,1,Reconocimiento a Profesores y Auxiliares,3,7,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Excelente curso y excelente profesor, vengo de un 2022 vacío, reprobando todos los ramos que podía reprobar, aprobando solo un EH. Tomar este curso con este profesor resignificó mi carrera, por primera vez puedo decir que disfruté aprendiendo un ramo y me motivó a estudiar los otros. A pesar de no ser DIM la manera en que vimos la materia me abrió completamente la mente, agradezco haber tomado con el profesor, su manera de enseñar y pasar la materia, siento que no la habría pasado tan bien en un ramo coordinado, si bien, mi desempeño no fue el mejor, es porque todavía estoy sanando un par de heridas psicológicas que me afectaron durante el semestre, pero la felicidad de haber tenido la oportunidad de estudiar este ramo no me la quita nadie. Muchas gracias",MA2001-1 - Otoño 2023,Cálculo en Varias Variables,1,Reconocimiento a Profesores y Auxiliares,3,1,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Sin embargo, creo que nos perjudicó al final el hecho de que no pasara bien los últimos contenidos del curso (fluidos, hidrostática), pues estos entraban en el examen. Si bien dedicó parte de una clase a esto, claramente no fue suficiente (al conversar con compañeros de otras secciones se notaba que íbamos atrasados), no se logró profundizar en el tema y, personalmente, no me sirvió mucho, pues tampoco logré entenderle.",FI1000-7 - Otoño 2023,Introducción a la Física Clásica,0,Evaluaciones y Controles,1,7,FI1000, Otoño 2023,Departamento de fisica
"Nada en particular, creo que nunca había disfrutado tanto la física.",FI1000-8 - Otoño 2023,Introducción a la Física Clásica,0,Experiencia y Organización del Curso,1,8,FI1000, Otoño 2023,Departamento de fisica
Pésima organización del curso. Solo en las últimas evaluaciones dieron una rúbrica oportunamente. Solo hubo retroalimentación adecuada de las presentaciones. Se demoraron mucho en entregar las notas de las actividades. Organizaban la clase 5 minutos antes de comenzar y se notaba la descordinación. Poca seriedad en general. Siempre dijeron que la innovación era importante pero nunca mostraron datos para respaldar esa información.,CD1100-6 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,0,Estilo de Enseñanza y Dinámica de Clases,1,6,CD1100, Otoño 2023,Area de innovacion
Me gustaban las explicaciones claras y ejemplificadas de la materia.,FI2003-4 - Otoño 2023,Métodos Experimentales,1,Calidad de la Enseñanza,3,4,FI2003, Otoño 2023,Departamento de fisica
Tuvo una cantidad considerable de atrasos en el semestre.,FI1100-4 - Otoño 2023,Introducción a la Física Moderna,0,Gestión de Actividades y Evaluaciones,2,4,FI1100, Otoño 2023,Departamento de fisica
"Quizás profundizar más en lo que dicen los ppts a la hora de la cátedra, para así no repetir lo mismo que está escrito(?",BT1211-5 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,0,Estilo de Enseñanza y Dinámica de Clases,1,5,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Me gustó su disposicion en clase y como relaciona materia con otras cosas mas cotidianas o de otros ramos,MA2001-2 - Otoño 2023,Cálculo en Varias Variables,1,Estilo de Enseñanza y Dinámica de Clases,3,2,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Clases notablemente profesionales, se nota que hay experiencia y que el profesor se sabe hasta al revés sus propias clases. Siempre está dispuesto a responder consultas académicas con buena disposición y entusiasmo.",MA1001-7 - Otoño 2023,Introducción al Cálculo,1,Atención y Disposición Docente,1,7,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Es algo respetuoso, e intenta generar un vínculo más directo con el alumno (es bastante amigable)",MA1101-9 - Otoño 2023,Introducción al Álgebra,1,Atención y Disposición Docente,1,9,MA1101, Otoño 2023,Departamento de ingenieria matematica
Pase un poco más lento la materia,FI1000-10 - Otoño 2023,Introducción a la Física Clásica,0,Estilo de Enseñanza y Dinámica de Clases,1,10,FI1000, Otoño 2023,Departamento de fisica
Excelente profesor con muy buena disposición y buena actitud durante todo el transcurso del ramo. No tiene problema al momento de pasar materia y explicarla con ejemplos prácticos y entendibles.,BT1211-1 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Atención y Disposición Docente,1,1,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Excelente profesor,FI1000-1 - Otoño 2023,Introducción a la Física Clásica,1,Experiencia Educativa,1,1,FI1000, Otoño 2023,Departamento de fisica
"Podría explicarse un poco mejor, de repente vomita un montón de materia en 1 hr y al final de cuentas uno no entiende tanto. Y hacer mas clases de repaso pre prueba",MA1101-5 - Otoño 2023,Introducción al Álgebra,0,Estilo de Enseñanza y Dinámica de Clases,1,5,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Si bien existe la iniciativa de participar por decimas, la clase en momentos puede sentirse poco dinámica y mas como una lectura de PowerPoint, cosa que puede ser un poco monótona para algunos alumnos y alumnas.",BT1211-3 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,0,Experiencia y Organización del Curso,1,3,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Los auxiliares hicieron clases útiles con ejemplos.,MA2601-2 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Experiencia Educativa,3,2,MA2601, Otoño 2023,Departamento de ingenieria matematica
Mejorar los tiempos de entrega de las evaluaciones.,FI2003-4 - Otoño 2023,Métodos Experimentales,0,Gestión de Actividades y Evaluaciones,3,4,FI2003, Otoño 2023,Departamento de fisica
"Enamoradisima del curso, las profes son muy bacanes <3

Siempre me ha costado mantenerme enfocada en las clases de la universidad pero con las profes el estar atentos y querer participar era algo natural. Tambiéncave destacar la disposición y humanidad qué mostraron tanto profes como ayudantes durante el semestre.",CD1100-5 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Experiencia Educativa,1,5,CD1100, Otoño 2023,Area de innovacion
"La única profesora dim que he tenido, y dejo la cara muy alta. Es realmente excelente, que gusto daba ir a sus cátedras y entender la materia, y cuando no, con toda la paciencia del mundo nos volvía a explicar, incluso si la duda era de cursos pasados. 

Me sorprende lo humana que es al momento de equivocarse, la paciencia que tiene y cómo no, sus outfits:) Una grande profe, siga así!!",MA2001-4 - Otoño 2023,Cálculo en Varias Variables,1,Reconocimiento a Profesores y Auxiliares,3,4,MA2001, Otoño 2023,Departamento de ingenieria matematica
La profesora siempre estuvo dispuesta a explicar los ejercicios de manera que todos entendieran y tambien abrio posibilidades para que todos los alumnos pudieran estudiar y entender las clases de mejor manera,FI1000-8 - Otoño 2023,Introducción a la Física Clásica,1,Calidad de la Enseñanza,1,8,FI1000, Otoño 2023,Departamento de fisica
"El mejor profesor de toda la facultad. Tengo mil pruebas y ninguna duda. Excelentes clases, excelentes evaluaciones. Transmite de manera perfecta el deseo de que los y las estudiantes aprendan. Aprovecho de tirarle flores también al Lucas y al Henry, espectacular su trabajo y su dedicación con el curso, son secos. También agradecer a los ayudantes por darse la pega de revisar tantos ejercicios jaja, y de responder los correos con la mejor voluntad y en muy poco tiempo.",FI2001-4 - Otoño 2023,Mecánica,1,Experiencia Educativa,3,4,FI2001, Otoño 2023,Departamento de fisica
Maneja muy bien los contenidos y se muestra fluido a la hora de explicar. También ofrece ejemplos que ayudan a familiarizarse con los ejercicios,FI1000-4 - Otoño 2023,Introducción a la Física Clásica,1,Calidad de la Enseñanza,1,4,FI1000, Otoño 2023,Departamento de fisica
"Muy buena profesora, expone los contenidos con claridad, apoyada de un material excelente.",FI1100-4 - Otoño 2023,Introducción a la Física Moderna,1,Calidad de la Enseñanza,2,4,FI1100, Otoño 2023,Departamento de fisica
"Más que sobre el profesor, es más con el tiempo de entrega de las notas, sin embargo es la única ""queja"" sobre el ramo",CC1000-6 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Experiencia y Organización del Curso,1,6,CC1000, Otoño 2023,Departamento ciencias de la computación
"Muchas felicitaciones  a Don José  Mella por su buen desempeño  y buenos métodos  de enseñanza  que ocupo, sinceramente  uno de los mejores profesores  que e tenido en la facultad, siempre se preocupo por el aprendizaje  de sus alumnos  y dio oportunidades  para mejorar y aplicar los conocimientos, ojalá tenerlo como profesor en algún ramo en el futuro, con docentes así da gusto venir a aprender, simplemente un grade José Mella, de paso felicitar a los ayudantes que siempre dieron lo mejor de sí, en especial la cata",FI1100-3 - Otoño 2023,Introducción a la Física Moderna,1,Experiencia Educativa,2,3,FI1100, Otoño 2023,Departamento de fisica
Muy buen profesor. La atmósfera que crea en clase es muy buena y fomenta el estar atento y participar.,MA1001-10 - Otoño 2023,Introducción al Cálculo,1,Atención y Disposición Docente,1,10,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Considero que el docente debería  adaptar los problemas planteados en las cátedras al nivel de los problemas de un control, no quiero decir que se deba bajar la exigencia, sino más bien adaptar a l@s estudiantes a dicho nivel de exigencia, para evitar que haya una gran brecha de dificultad entre los ejercicios de catedra  y los de control.",FI2001-5 - Otoño 2023,Mecánica,0,Evaluaciones y Controles,3,5,FI2001, Otoño 2023,Departamento de fisica
"El profesor se preocupaba de pedir la opinión de los alumnos al inicio de cada clase después de una evaluación.

La materia se encontraba disponible en formato powerpoint desde el inicio del semestre.

Buenos auxiliares.",FI2002-1 - Otoño 2023,Electromagnetismo,1,Estilo de Enseñanza y Dinámica de Clases,4,1,FI2002, Otoño 2023,Departamento de fisica
"A veces si pasamos la materia un poco más lento estaría bien, yo personalmente le seguía el ritmo, pero conozco a personas que no podían",MA1001-5 - Otoño 2023,Introducción al Cálculo,0,Estilo de Enseñanza y Dinámica de Clases,1,5,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Disfruté las clases del profesor, aunque creo que producto de los conflictos que hubieron con la coordinación docente del ramo, se generó un ambiente no muy propicio para el aprendizaje. Fuera de eso, el ramo es muy entretenido y la tarea numérica también.",MA2001-5 - Otoño 2023,Cálculo en Varias Variables,1,Experiencia y Organización del Curso,3,5,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Deberían tener mejores instrumentos y equipos en los laboratorios, ya que algunos están defectuosos y no funcionan adecuadamente.",FI2003-5 - Otoño 2023,Métodos Experimentales,0,Reconocimiento a Profesores y Auxiliares,3,5,FI2003, Otoño 2023,Departamento de fisica
"Se recomienda al profesor escribir en la pizarra solo las ideas centrales de la materia, en lugar de escribir todo lo que va a decir en la clase (incluido el contexto), para agilizar los tiempos en clases y poder pasar toda la materia necesaria en clases.",FI2001-2 - Otoño 2023,Mecánica,0,Estilo de Enseñanza y Dinámica de Clases,3,2,FI2001, Otoño 2023,Departamento de fisica
"Mecaniza demasiado a los estudiantes y el curso, se aleja del objetivo de comprender realmente lo que son las ecuaciones diferenciales haciendo que los estudiantes sigan métodos que son más cercanos a memorizar algo más que entenderlo en si, logrando el que solamente podamos resolver un ejercicio, no un problema. Adicionalmente las clases son tediosas y monótonas al tener un profesor que hace la clase desde su asiento escribiendo notas, al ir a la aula o salón de clase, voy a recibir una clase presencial a interactuar con el profesor mientras observo lo que ocurre en la pizarra, si quisiera ver a alguien escribir formulas en un papel, estaría viendo un video en YouTube, no en la Universidad.",MA2601-3 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,0,Estilo de Enseñanza y Dinámica de Clases,3,3,MA2601, Otoño 2023,Departamento de ingenieria matematica
"Bastante buen profesor, respondía los correos y preguntas del foro en un período de tiempo pertinente y siempre dispuesto a resolver dudas",FI1000-1 - Otoño 2023,Introducción a la Física Clásica,1,Atención y Disposición Docente,1,1,FI1000, Otoño 2023,Departamento de fisica
"El Sr. F. Lund es un verdadero dios en la Tierra. Las primeras clases aparentó una falsa identidad de un profesor acelerado; que iba obligado solo por cumplir. No obstante nos equivocamos. La sección lo juzgó mal. Durante su salida a Europa tuvimos otros 2 profesores que realizaron la cátedra. Fue ahí en donde apreciamos lo que teníamos. Su manera de hablar, de expresarse, de explicar... era única. Realmente inigualable. En lo personal me encantaba su profesionalismo. Se esforzaba en explicar detalladamente lo que otros considerarían obvio. Ese esfuerzo siempre me llamó la atención. Llegamos a tal punto que es sus ultimas clases destacaba hasta su carisma. En esas clases fue que como sección entendimos que estábamos frente a una gran mente brillante, apasionado en su enseñanza y con un gran amor a la física.



Realmente espero que como sección hayamos hecho notar nuestra satisfacción con el profesor Lund y que él lo haya entendido así. Fue un orgullo haber sido su estudiante. Si quisiera, F. Lund debería darle con Introducción a la Física Moderna. De por hecho que tendrá a toda la sección corriendo para asegurar su cupo.",FI1000-2 - Otoño 2023,Introducción a la Física Clásica,1,Estilo de Enseñanza y Dinámica de Clases,1,2,FI1000, Otoño 2023,Departamento de fisica
"Clases entretenidas e interesantes, me gustó mucho que realizábamos varios ejemplos en clases",FI1000-4 - Otoño 2023,Introducción a la Física Clásica,1,Calidad de la Enseñanza,1,4,FI1000, Otoño 2023,Departamento de fisica
Muy buenos,MA1001-3 - Otoño 2023,Introducción al Cálculo,1,Experiencia Educativa,1,3,MA1001, Otoño 2023,Departamento de ingenieria matematica
Tiene buena disposición al momento de formular preguntas y en aspectos generales,CC1000-15 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Atención y Disposición Docente,1,15,CC1000, Otoño 2023,Departamento ciencias de la computación
Mantener la actitud del profesor hacia los estudiantes. Quizás evitar situaciones controversiales como la evaluación del control de lectura polémico,FI2003-2 - Otoño 2023,Métodos Experimentales,0,Atención y Disposición Docente,3,2,FI2003, Otoño 2023,Departamento de fisica
"Profesor Marcos muy buen docente y persona, siempre con la mejor disposición de escuchar a los estudiantes para entenderlos y llegar a una solución. 

Se agradece tener un profesor así en la facultad, que no es para nada común.",FI2003-2 - Otoño 2023,Métodos Experimentales,1,Atención y Disposición Docente,3,2,FI2003, Otoño 2023,Departamento de fisica
un poquito la caligrafía jsjsjsjsjdj,FI1000-7 - Otoño 2023,Introducción a la Física Clásica,0,Estilo de Enseñanza y Dinámica de Clases,1,7,FI1000, Otoño 2023,Departamento de fisica
"Muy agradable, siempre dispuesto a explicar lo que sea necesario las veces que sea necesario, constamentemente apoya en temas de materia y trata de hacer las clases de la forma más llevadera posibles",BT1211-1 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Calidad de la Enseñanza,1,1,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Explicación del método de uso de los respectivos programas,CC1000-4 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Gestión de Actividades y Evaluaciones,1,4,CC1000, Otoño 2023,Departamento ciencias de la computación
Pudo haber habido mas coordinacion con los auxiliares en cuanto a las evaluaciones y su correccion.,FI2003-2 - Otoño 2023,Métodos Experimentales,0,Evaluaciones y Controles,3,2,FI2003, Otoño 2023,Departamento de fisica
"Pasaba la materia de manera muy rápida, por lo que no se entendía casi nada, además que las clases eran prácticamente que leyera el apunte en voz alta, no explicaba nada distinto al apunte",MA1001-2 - Otoño 2023,Introducción al Cálculo,0,Estilo de Enseñanza y Dinámica de Clases,1,2,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Muy buen docente, preocupado de que aprendiéramos y que más allá de pasar el ramo por pasárlo, nos trató de enseñar una herramienta que nos fuera útil en la vida (aprender a razonar más allá de las pautas).



Buena disposición en la resolución de consultas, sobre todo las que involucraron tareas, pues realizaba una sesión exclusiva durante la semana para atender todas nuestras dudas, en un horario fuera de las clases, dándo la posibilidad de que quienes no pudiéran asistir, pudieran ver el video con la sesión grabada más tarde u otro día.",FI2001-5 - Otoño 2023,Mecánica,1,Atención y Disposición Docente,3,5,FI2001, Otoño 2023,Departamento de fisica
"Hay muchos aspectos que destacar, nos proporciona todas las herramientas necesarias para nuestro aprendizaje y, lo que es aún más valioso, muestra una genuina preocupación por nuestro entendimiento en lugar de simplemente ""mecanizarnos"". Es decir, nos estimula a desarrollar nuestra ""intuición matemática"", fomentando así un enfoque más profundo y comprensivo hacia la materia. Por otro lado, su dedicación hacia los estudiantes es evidente, y aunque es lo suficientemente estricto para mantener un nivel de exigencia adecuado, siempre lo hace con el objetivo de nuestro crecimiento como persona y nuestro éxito académico. Es evidente que tiene un dominio sólido de los conceptos, lo que se refleja claramente en su forma de enseñar, como por ejemplo, organizar los conceptos/demostraciones para que podamos entender mejor todo.",MA1001-10 - Otoño 2023,Introducción al Cálculo,1,Experiencia y Organización del Curso,1,10,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Muy comprometidos y dispuestos con nosotros. Siempre estuvieron atentos a dudas incluso fuera de horario de clases. Aparte de que explican todo las veces necesarias para que entendamos, me gustó mucho que antes de los controles hacían una consulta de de 3 horas donde nos podiamos sacar las últimas inquietudes y llegar con más confianza al día siguiente.",FI1000-9 - Otoño 2023,Introducción a la Física Clásica,1,Otros,1,9,FI1000, Otoño 2023,Departamento de fisica
La cantidad de actividades durante el semestre es agobiante,CD1100-2 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,0,Gestión de Actividades y Evaluaciones,1,2,CD1100, Otoño 2023,Area de innovacion
"El docente se preocupo por el aprendizaje y compresión de los contenidos, más allá de las notas, le interesaba la relación de lo aprendido con la realidad. Además respondía todas las preguntas, aclarando vacíos o incomprensiones del estudiantado.",FI1000-9 - Otoño 2023,Introducción a la Física Clásica,1,Experiencia Educativa,1,9,FI1000, Otoño 2023,Departamento de fisica
muy mala la calidad de los auxiliares,FI1100-3 - Otoño 2023,Introducción a la Física Moderna,1,Experiencia Educativa,2,3,FI1100, Otoño 2023,Departamento de fisica
"Por motivos de que el horario de cátedra era antes de los controles decidí no asistir a casi ninguna cátedra. Sin embargo destaco la disposición que tuvo la profesora siempre para ayudarnos, incluso tomo en consideración lo que se le comentó en la encuesta docente de mitad de semestre, cosa que no muchos docentes hacen. Intentó siempre ayudar, se dió incluso mas plazo para entregar los informes, que en el caso específico de nuestra sección, por el horario de los laboratorios, fue de mucha ayuda para poder organizar mejor nuestros tiempos. De verdad muy buena docente, genia:)



Los ayudantes cabe destacar, siempre tuvieron muy buena disposición para responder dudas y se notaba que sabían ocupar los instrumentos, no como ayudantes otras secciones.",FI2003-4 - Otoño 2023,Métodos Experimentales,1,Experiencia Educativa,3,4,FI2003, Otoño 2023,Departamento de fisica
No debe detenerse tanto en explicar contenidos mas difíciles,FI1000-6 - Otoño 2023,Introducción a la Física Clásica,0,Calidad de la Enseñanza,1,6,FI1000, Otoño 2023,Departamento de fisica
Buena disposición para aclarar dudas,FI1000-7 - Otoño 2023,Introducción a la Física Clásica,1,Atención y Disposición Docente,1,7,FI1000, Otoño 2023,Departamento de fisica
"Siento que es un curso bien interesante, me sumo a los comentarios hechos en la presentación final",CD2201-3 - Otoño 2023,Módulo Interdisciplinario,1,Experiencia y Organización del Curso,4,3,CD2201, Otoño 2023,Area de innovacion
El docente desempeñó sus labores de enseñanza con mucho entusiasmo y mostrando cuanta dedicación le da a su labor como profesor pero también enfocando su aprendizaje en lo que él realiza como trabajo diario. Mostró que la ciencia es transversal a toda área del día a día.,BT1211-1 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Experiencia Educativa,1,1,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"Buen profesor, bastante profesional.",MA1001-4 - Otoño 2023,Introducción al Cálculo,1,Calidad de la Enseñanza,1,4,MA1001, Otoño 2023,Departamento de ingenieria matematica
"en algunos ejercicios hubo un poco de descoordinación entre la materia y lo q se evaluaba, pero más allá de eso todo bien",IQ2211-6 - Otoño 2023,Química,0,Calidad de la Enseñanza,3,6,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Explica todo muy bien, es muy organizado con las clases y los laboratorios y resuelve tus dudas.",CC1000-14 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Gestión de Actividades y Evaluaciones,1,14,CC1000, Otoño 2023,Departamento ciencias de la computación
Mucha tarea,CC1000-17 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Gestión de Actividades y Evaluaciones,1,17,CC1000, Otoño 2023,Departamento ciencias de la computación
"parecía perder la paciencia en alguna ocasión, respondiendo dudas de manera sarcástica, además de avanzar a veces muy rápido con la materia, dejando dudas o confusión

a grandes rasgos, una muy buena profesora",FI1000-3 - Otoño 2023,Introducción a la Física Clásica,0,Atención y Disposición Docente,1,3,FI1000, Otoño 2023,Departamento de fisica
La profesora muy pendiente de sus alumnos y de los temas a revisar. La dinámica de las clases permitía entender mejor la materia y poner a prueba lo que uno iba a aprendiendo.,FI1000-8 - Otoño 2023,Introducción a la Física Clásica,1,Calidad de la Enseñanza,1,8,FI1000, Otoño 2023,Departamento de fisica
El profe a veces era muy disperso con sus clases,FI1000-6 - Otoño 2023,Introducción a la Física Clásica,0,Estilo de Enseñanza y Dinámica de Clases,1,6,FI1000, Otoño 2023,Departamento de fisica
Tuvo una redención de personaje,FI1000-7 - Otoño 2023,Introducción a la Física Clásica,1,Otros,1,7,FI1000, Otoño 2023,Departamento de fisica
"Profe todo bien, pero por favor responda los correos 😭😭😭 a veces se demora mucho en verlos, y en algunos solo deja el visto (sin respuesta).",FI1000-7 - Otoño 2023,Introducción a la Física Clásica,0,Evaluaciones y Controles,1,7,FI1000, Otoño 2023,Departamento de fisica
No encuentro algo que podría mejorar,CC1000-10 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Experiencia y Organización del Curso,1,10,CC1000, Otoño 2023,Departamento ciencias de la computación
"No hay aspectos a mejorar, el profesor Juan es excelente.",MA1101-4 - Otoño 2023,Introducción al Álgebra,0,Experiencia Educativa,1,4,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Un gran trabajo en la enseñanza, hace pensar mucho a sus alumnos para interiorizar la materia.",MA1001-8 - Otoño 2023,Introducción al Cálculo,1,Experiencia y Organización del Curso,1,8,MA1001, Otoño 2023,Departamento de ingenieria matematica
Explica de forma clara y sencilla. Es bastante bueno,MA1001-8 - Otoño 2023,Introducción al Cálculo,1,Calidad de la Enseñanza,1,8,MA1001, Otoño 2023,Departamento de ingenieria matematica
Buena profe,FI2003-5 - Otoño 2023,Métodos Experimentales,1,Reconocimiento a Profesores y Auxiliares,3,5,FI2003, Otoño 2023,Departamento de fisica
Tener más consideración con las distintas sensibilidades de los estudiantes al momento de hacer chistes sobre ellos.,MA2001-1 - Otoño 2023,Cálculo en Varias Variables,0,Gestión de Actividades y Evaluaciones,3,1,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Me encanta el sentimiento de cercanía que puede promover la profesora, permite que los estudiantes tengan mayor disposición en sus clases y se atrevan a resolver sus dudas, además de crear un ambiente agradable en la clase. El ritmo de la clase para mi gusto es idóneo, puede que no pasáramos siempre toda la materia, pero el ritmo permitía quedar con los conceptos más claros, y no tener una mera idea vaga de el contenido en general. El material de apoyo que constantemente entrega permite que tengamos muchas fuentes de información, a la vez que entrega un ""apoyo"" y hace ver que la profesora nos acompaña en este proceso. La profesora es una buena docente.",MA1001-6 - Otoño 2023,Introducción al Cálculo,1,Estilo de Enseñanza y Dinámica de Clases,1,6,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Su método de aprendizaje es muy malo, yo no aprendí absolutamente nada de el e iba a sus clases a puro confundirme, se nota que tiene buenas intenciones pero en términos de docencia no se lo recomendaría a nadie. 

Quizás si se organizara más al momento de dar sus clases, diera ejemplos claros o subiera material de apoyo de cosas que no alcanzó a explicar para antes del control mejoraria considerablemente su desarrollo como buen docente. El ramo fue mucho más salvable gracias al auxiliar porque el profe de cátedra no aportaba nada.

Si tuviese los temas de clases mucho más en claro y no se fuera por las ramas al momento de explicar algún concepto que más atrasa que aporta realmente en la clase, mejoraría bastante en verdad.",MA1101-10 - Otoño 2023,Introducción al Álgebra,0,Calidad de la Enseñanza,1,10,MA1101, Otoño 2023,Departamento de ingenieria matematica
Sólo reconocer el tema de que no hubo discriminación y que efectivamente se fomentó la participación tanto de hombres como de mujeres por igual.,CD1100-4 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Estilo de Enseñanza y Dinámica de Clases,1,4,CD1100, Otoño 2023,Area de innovacion
